week,date,area,obs_counts,exp_counts
698,52746.45972554398,468,310,232211.6564326128
699,52753.50781767,383,278,208978.48921141936
700,52760.4925497,436,336,202941.98159098017
701,52767.46543167824,480,354,235147.28417718742
702,52774.4675402,368,245,175716.6702065609
703,52781.4697489931,567,406,285925.08281266986
704,52788.4724015,470,335,249884.25793331076
705,52797.21005787037,1200,435,380982.1035753338
706,52809.12905092593,1091,478,522678.81391476805
707,52809.48452546296,3915,416,623958.260543983
708,52820.50712962963,954,298,445081.54987572815
709,52823.659953703704,1230,404,407848.6109081379
710,52830.45851323,626,425,251013.90522617454
711,52837.4640689,450,335,238493.28639892387
